,,,,,,,
,Gross Domestic Product,,,,,,
,"Gross Domestic Product, Real, Domestic Currency",,,,,,
,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,
,,,,,,,
,Country,2017,2018,2019,2020,2021,
,Tuvalu,57.00,58.00,66.00,67.00,69.00,
,Uganda,"114,701,076.06","121,357,981.26","131,435,912.43","125,517,828.98","135,236,482.41",
,Ukraine,"2,441,661.00","2,526,835.00","2,607,681.00","2,509,820.00","2,593,968.00",
,United Arab Emirates,"1,481,653.69","1,501,121.34","1,517,758.99","1,442,522.88","1,499,016.35",
,United Kingdom,"2,166,073.00","2,203,005.00","2,238,348.00","1,991,439.00","2,142,738.00",
,United States,"18,076,651.50","18,609,078.30","19,036,052.30","18,509,142.80","19,609,811.80",
,Uruguay,"1,754,507.90","1,762,892.82","1,769,070.83","1,660,777.58","1,733,303.89",
,Vanuatu,"66,443.00","68,370.00","70,586.00","67,062.00",...,
,Vietnam,"4,217,874,760.82","4,532,739,396.42","4,866,315,598.02","5,005,843,600.92","5,133,981,286.87",
,West Bank and Gaza,"15,294.90","15,471.20","15,760.30","13,970.30","15,027.10",
,"Yemen, Rep. of","225,884.05","227,583.71","230,769.88","211,154.44",...,
,Zimbabwe,"1,919.00","20,098.00","18,864.00","17,891.00","19,172.00",
