,Country,CountryCode,Year,Population,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
92,Canada,CAN,2022,38617.808,4505142.0,49238.0,116.65970269467392,1.2750076337838752,91.8,22.749434442270058,34.679931506849314,35.18276516634051,31.164383561643834
93,Cape Verde,CPV,2020,585.347,11840.0,113.0,20.22731815487224,0.19304788441727727,0.0,72.57898181818182,69.09563636363636,68.25156363636364,75.0
94,Cape Verde,CPV,2021,590.503,41732.0,352.0,70.6719525557025,0.5961019673058392,43.15,53.88331506849315,55.659342465753426,56.13794520547945,52.294520547945204
95,Cape Verde,CPV,2022,595.796,63200.0,412.0,106.07657654633465,0.6915118597640803,52.05,27.474821917808217,34.51550684931507,37.96,10.41095890410959
96,Central African Republic,CAF,2020,5414.014,4963.0,63.0,0.9166950805816165,0.011636467877622776,0.0,50.677018181818184,40.88541818181818,41.65589090909091,35.5
97,Central African Republic,CAF,2021,5500.295,12163.0,101.0,2.211335937436083,0.018362651457785446,6.0,16.270712328767125,19.227123287671233,21.82813698630137,1.0273972602739727
98,Central African Republic,CAF,2022,5657.992,15351.0,113.0,2.713153359000861,0.01997174969494478,34.68,15.832273972602739,25.213205479452053,28.81468493150685,0.0
99,Chad,TCD,2020,16910.218,2113.0,104.0,0.12495403666587858,0.0061501276920262055,0.0,70.62098181818182,56.88756363636364,58.87189090909091,43.0
100,Chad,TCD,2021,17449.262,5703.0,181.0,0.3268333067610539,0.010372931531430957,0.46,30.004575342465753,38.43178082191781,39.48923287671233,31.027397260273972
101,Chad,TCD,2022,17997.367,7650.0,194.0,0.425062177150691,0.010779354557808374,20.45,24.29835616438356,30.365616438356167,34.272904109589035,3.0136986301369864
102,Chile,CHL,2020,19393.941,608973.0,16608.0,31.400167712173612,0.8563499290835216,0.0,82.90167272727273,76.12523636363636,76.25225454545455,75.22727272727273
103,Chile,CHL,2021,19592.428,1806494.0,39115.0,92.20368195304839,1.9964345409359168,84.41,64.63060273972603,68.66254794520547,70.25019178082192,57.534246575342465
104,Chile,CHL,2022,19615.038,5037527.0,63172.0,256.8196401148955,3.220590243057393,90.27,24.32643835616438,35.13884931506849,40.157835616438355,0.0
105,China,CHN,2020,1425861.543,93679.0,4733.0,0.06569992749990312,0.003319396629522534,0.0,71.3472,65.36909090909091,69.24803636363636,38.22727272727273
106,China,CHN,2021,1425925.386,115168.0,4890.0,0.08076719941361644,0.0034293519478725376,84.68,71.18353424657533,72.90805479452054,74.39660273972602,62.5
107,China,CHN,2022,1425849.288,1956071.0,5549.0,1.3718637842458985,0.003891715657959497,89.35,71.08586301369863,76.25232876712329,78.21471232876712,62.5
108,Colombia,COL,2020,51244.297,1642775.0,43213.0,32.057713661288005,0.8432743257264316,0.0,77.89796363636363,70.72970909090908,70.19476363636365,74.45454545454545
109,Colombia,COL,2021,51788.827,5157440.0,129942.0,99.58595895597327,2.509074013203659,54.6,61.00991780821918,64.87394520547946,63.79843835616438,72.3972602739726
110,Colombia,COL,2022,51959.221,6336660.0,141881.0,121.95448426757592,2.73062215463161,71.09,27.756493150684932,39.742520547945205,43.52597260273973,13.253424657534246
111,Comoros,COM,2020,814.006,823.0,10.0,1.0110490586064476,0.01228492173276364,0.0,,,,
112,Comoros,COM,2021,829.245,6515.0,157.0,7.856544205874018,0.18932884732497635,29.41,,,,
113,Comoros,COM,2022,844.302,8982.0,161.0,10.638373472998998,0.1906900611392606,47.45,,,,
114,Congo,COG,2020,5769.06,7107.0,114.0,1.231916464727356,0.019760584913313433,0.0,67.06381818181818,50.64461818181818,55.050036363636366,19.818181818181817
115,Congo,COG,2021,5902.552,20089.0,367.0,3.4034431208738187,0.06217649586145112,2.28,45.12271232876713,41.37575342465753,46.890630136986296,2.7739726027397262
116,Congo,COG,2022,6038.296,25375.0,386.0,4.202344502488781,0.06392531932849929,10.96,33.43334246575343,35.409205479452055,40.46964383561644,0.0
117,Costa Rica,CRI,2020,5140.851,169321.0,2185.0,32.93637570900226,0.42502690702375934,0.0,66.28265454545455,54.36603636363636,55.09494545454546,49.27272727272727
118,Costa Rica,CRI,2021,5167.063,570556.0,7353.0,110.42172313362542,1.4230521284528561,67.66,56.327260273972605,57.38956164383561,60.47038356164384,35.821917808219176
119,Costa Rica,CRI,2022,5194.595,1161687.0,9072.0,223.63379628248208,1.7464306649507806,82.82,19.1693698630137,29.932520547945202,32.53476712328767,11.712328767123287
120,Cote d'Ivoire,CIV,2020,27146.007,22490.0,137.0,0.8284828041192209,0.0050467827551948985,0.0,47.8108,47.578472727272725,45.95916363636364,58.90909090909091
121,Cote d'Ivoire,CIV,2021,27810.491,71004.0,714.0,2.5531372315576877,0.025673764623573167,7.68,19.700410958904108,38.135506849315064,35.050657534246575,59.726027397260275
122,Cote d'Ivoire,CIV,2022,28510.594,87941.0,831.0,3.084502553682326,0.02914706021207415,41.41,16.024657534246575,27.557342465753425,30.056849315068494,10.068493150684931
123,Croatia,HRV,2020,4079.1,210837.0,3920.0,51.68713686842686,0.960996298203035,0.0,50.39090909090909,57.34203636363636,55.50265454545455,70.22727272727273
124,Croatia,HRV,2021,4041.171,715245.0,12538.0,176.98954090287197,3.102566063153477,48.47,40.754684931506844,50.04868493150685,50.63920547945206,45.92465753424658
125,Croatia,HRV,2022,4019.544,1263901.0,17596.0,314.4389015271384,4.377610992689718,55.84,16.558,27.824164383561644,31.724438356164384,0.5136986301369864
126,Cuba,CUB,2020,11292.16,11863.0,146.0,1.0505518873271367,0.012929324416232147,0.0,75.85501818181818,65.0852,67.32505454545455,49.40909090909091
127,Cuba,CUB,2021,11220.585,966004.0,8322.0,86.09212443023247,0.7416725598531628,86.27,68.03665753424657,66.62638356164383,69.16073972602739,48.86986301369863
128,Cuba,CUB,2022,11203.797,1111993.0,8530.0,99.25144127477496,0.7613490319397969,89.22,16.76490410958904,30.707698630136985,28.47808219178082,46.3013698630137
129,Cyprus,CYP,2020,1241.296,22346.0,120.0,18.002152588907077,0.09667315450948041,0.0,65.63763636363636,68.3352,63.81072727272728,100.0
130,Cyprus,CYP,2021,1247.08,166827.0,638.0,133.77409628893096,0.5115950861211791,67.84,59.49586301369863,72.09443835616439,68.10895890410958,100.0
131,Cyprus,CYP,2022,1255.897,631111.0,1258.0,502.51812051466004,1.0016745003770213,72.1,24.206328767123285,47.93939726027398,42.61435616438356,85.20547945205479
132,Czech Republic,CZE,2020,10523.996,718661.0,11580.0,68.28784427512136,1.100342493478713,0.0,51.02850909090909,56.582290909090915,54.39261818181818,71.9090909090909
133,Czech Republic,CZE,2021,10497.505,2475729.0,36129.0,235.83975430352262,3.441674950381067,63.45,55.17052054794521,65.01356164383562,64.40446575342466,69.28082191780823
134,Czech Republic,CZE,2022,10490.467,4579875.0,42131.0,436.57493989543076,4.0161224471703685,65.67,18.49945205479452,31.576082191780824,32.65054794520548,24.041095890410958
135,Democratic Republic of Congo,COD,2020,94374.379,17658.0,591.0,0.18710586694297612,0.006262292862345616,0.0,55.173490909090916,44.94676363636364,46.8484,31.636363636363637
136,Democratic Republic of Congo,COD,2021,97413.858,74793.0,1205.0,0.7677860371775852,0.012369903263660907,0.12,37.13482191780822,31.12098630136986,33.03191780821918,17.73972602739726
137,Democratic Republic of Congo,COD,2022,100606.566,95173.0,1462.0,0.9459919345622033,0.014531854710158778,6.92,30.74920547945205,32.80293150684931,37.49019178082192,0.0
138,Denmark,DNK,2020,5840.504,163479.0,1298.0,27.990563828053197,0.2222410942617281,0.0,55.65389090909091,56.28792727272727,51.97047272727272,86.5
139,Denmark,DNK,2021,5867.977,802397.0,3267.0,136.74167434534934,0.5567506484773203,77.19,46.16438356164384,53.26545205479452,56.17816438356164,32.87671232876713
140,Denmark,DNK,2022,5896.546,3385836.0,7758.0,574.206662680152,1.3156854877414677,80.77,13.32767123287671,23.5853698630137,26.953945205479453,0.0
141,Djibouti,DJI,2020,1097.968,5831.0,61.0,5.31071943808927,0.05555717470818821,0.0,57.81894545454545,48.683854545454544,54.03676363636364,11.227272727272727
142,Djibouti,DJI,2021,1113.147,13656.0,189.0,12.26792148745853,0.16978889580621429,2.33,42.17846575342466,40.74167123287671,45.103232876712326,10.205479452054794
143,Djibouti,DJI,2022,1128.55,15690.0,189.0,13.902795622701698,0.16747153426963804,26.5,31.099890410958906,33.217479452054796,37.96238356164384,0.0
144,Dominica,DMA,2020,72.225,88.0,0.0,1.2184146763586017,0.0,0.0,48.35592727272727,51.42454545454545,52.459272727272726,44.18181818181818
145,Dominica,DMA,2021,72.6,6814.0,47.0,93.85674931129478,0.6473829201101929,37.96,44.17087671232876,51.037424657534245,57.026219178082194,9.10958904109589
146,Dominica,DMA,2022,72.875,15760.0,74.0,216.2607204116638,1.0154373927958833,42.14,38.31358904109589,44.94191780821917,51.362630136986304,0.0
147,Dominican Republic,DOM,2020,11059.98,170785.0,2414.0,15.441709659511138,0.21826440915806358,0.0,78.94785454545455,64.69029090909092,70.36196363636364,25.0
148,Dominican Republic,DOM,2021,11175.767,418778.0,4247.0,37.471969485405346,0.38001866001680246,50.76,60.448684931506854,59.022684931506845,65.8152602739726,11.472602739726028
