,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
203,New Zealand,NZL,Asia & Pacific,Global North,2018,4900600,211953111035.513,1.59829703801698,4.32999992370605,43250.44097365894
204,Norway,NOR,Europe,Global North,2021,5408320,482174854481.956,3.48388055266678,4.36999988555908,89154.27609349224
205,Norway,NOR,Europe,Global North,2020,5379475,362198318435.26,1.28658490707998,4.42000007629395,67329.67779109672
206,Norway,NOR,Europe,Global North,2019,5347896,404941363636.364,2.16773003305405,3.69000005722046,75719.75289653426
207,Norway,NOR,Europe,Global North,2018,5311916,436999692591.454,2.76483134528794,3.79999995231628,82267.809316159
208,Palestinian Territory,PSE,Arab States,Global South,2021,4922749,18036800000.0,1.23748102831382,26.3899993896484,3663.9690546887523
209,Palestinian Territory,PSE,Arab States,Global South,2020,4803269,15531700000.0,-0.735332001092242,25.8899993896484,3233.5686383585844
210,Palestinian Territory,PSE,Arab States,Global South,2019,4685306,17133500000.0,1.58018333639459,25.3400001525879,3656.858271370109
211,Palestinian Territory,PSE,Arab States,Global South,2018,4569087,16276600000.0,-0.195107773730686,26.2600002288818,3562.3309427025574
212,Panama,PAN,South/Latin America,Global South,2021,4351267,63605100000.0,1.63070337301891,10.289999961853,14617.604481637187
213,Panama,PAN,South/Latin America,Global South,2020,4294396,53977000000.0,-1.55027540803759,18.5499992370605,12569.17154356515
214,Panama,PAN,South/Latin America,Global South,2019,4232532,66984400000.0,-0.355083821021212,6.40999984741211,15826.082354486629
215,Panama,PAN,South/Latin America,Global South,2018,4165255,64929400000.0,0.761578359399943,5.30999994277954,15588.33732868696
216,Paraguay,PRY,South/Latin America,Global South,2021,6703799,39495431574.1782,4.78798310123612,7.30999994277954,5891.499965046416
217,Paraguay,PRY,South/Latin America,Global South,2020,6618695,35432178068.1814,1.76751592356686,7.55000019073486,5353.348064562787
218,Paraguay,PRY,South/Latin America,Global South,2019,6530026,37925338329.1494,2.75709727562792,6.59000015258789,5807.8387940797475
219,Paraguay,PRY,South/Latin America,Global South,2018,6443328,40225448340.6322,3.97561015740691,6.21999979019165,6242.96145417899
220,Peru,PER,South/Latin America,Global South,2021,33715471,223249497500.387,4.27166381536796,5.09999990463257,6621.574336018826
