country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI,bot,inflation,interest,liquidity,debt
Burkina Faso,2020,,-0.95050255220441,-0.95050255220441,8.60700035095215,1.88443993781985,.,1.88443993781985,576.82,110.4,6.54,,46.37
Burkina Faso,2021,,3.89515829120183,3.89515829120183,8.50399971008301,3.65353287214207,46.0400009155273,3.65353287214207,398.79,114.43,6.25,,52.37
Bangladesh,2018,,1460.30501692162,708383.0,12.2930002212524,5.5436213948647,73.9122009277344,5.5417771316,"-21,457.17",,,,
Bangladesh,2018,,1460.30501692162,708383.0,12.2930002212524,5.5436213948647,73.9122009277344,5.5417771316,,170.16,9.65,"31,452.74",29.6
Bangladesh,2019,,1557.96529123717,766135.3125,12.3660001754761,5.59199639930633,74.6844635009766,5.5181913945,"-19,272.61",179.68,9.56,"32,012.89",31.66
Bangladesh,2020,,1593.3483212523,,14.3830003738403,5.6910747474621,74.9088973999023,6.020580556,"-18,300.38",189.91,8.30,"42,322.36",34.18
Bangladesh,2021,,1684.43438995348,,13.7720003128052,5.54565430773474,,5.6424742865,"-36,008.21",200.44,7.32,"45,348.05",35.55
Bulgaria,2018,,7859.6921556743,66363537115.2686,12.6850004196167,2.81454473824833,74.9634146341464,2.81454473824833,"1,612.30",,,,
Bulgaria,2018,,7859.6921556743,66363537115.2686,12.6850004196167,2.81454473824833,74.9634146341464,2.81454473824833,,110.97,4.96,"27,044.89",26.6
Bulgaria,2019,,8234.83966944834,68915875214.6537,8.89700031280518,3.10372944796774,75.1121951219512,3.10372944796774,"2,198.59",114.42,4.55,"25,919.57",24.58
Bulgaria,2020,,7956.46908962689,70240275010.1964,14.2049999237061,1.67244096855762,73.6073170731707,1.67244096855762,"1,343.92",116.33,4.34,"35,377.55",30.13
Bulgaria,2021,,8633.98229147066,84056312734.3089,15.8470001220703,3.29774435299511,,3.29774435299511,"1,445.73",120.17,4.12,"36,798.32",32.85
Bahrain,2018,,25415.8466249472,37802005319.1489,5.86700010299683,2.08766938046983,1487340,2.08766938046983,"2,910.37",,,,
Bahrain,2018,,25415.8466249472,37802005319.1489,5.86700010299683,2.08766938046983,1487340,2.08766938046983,,117.59,,"2,142.03",
Bahrain,2018,,25415.8466249472,37802005319.1489,5.86700010299683,2.08766938046983,1487340,2.08766938046983,,,,,94.61
Bahrain,2019,,25869.1129129041,38653318085.1064,5.99100017547607,1.00582004702132,1494188,1.00582004702132,...,118.77,,"3,674.20",
Bahrain,2019,,25869.1129129041,38653318085.1064,5.99100017547607,1.00582004702132,1494188,1.00582004702132,,,,,101.64
Bahrain,2020,,23501.9194628168,34723357446.8085,7.77400016784668,-2.31770629331374,1477469,-2.31770629331374,...,116.02,,"2,239.41",
Bahrain,2020,,23501.9194628168,34723357446.8085,7.77400016784668,-2.31770629331374,1477469,-2.31770629331374,,,,,129.73
Bahrain,2021,,26562.9691354026,38868663031.9149,7.15000009536743,-0.606319385140896,1463265,-0.606319385140896,...,115.32,,"4,720.18",
Bahrain,2021,,26562.9691354026,38868663031.9149,7.15000009536743,-0.606319385140896,1463265,-0.606319385140896,,,,,128.5
Bahamas,2018,,30705.6019729505,12755800000.0,24.25,2.26586346678726,,,-364.42,,,,
Bahamas,2018,,30705.6019729505,12755800000.0,24.25,2.26586346678726,,,,113.39,4.25,"1,345.34",60.94
Bahamas,2019,,31082.8060960243,13192800000.0,24.4340000152588,2.49123527368055,,,324.22,116.22,4.25,"1,757.78",59.67
Bahamas,2020,,23566.5753253459,9699500000.0,29.8980007171631,0.0385210980053727,,,"-1,760.45",116.26,4.25,"2,382.08",87.46
Bahamas,2021,,26705.5660079272,11208600000.0,27.2099990844727,2.90491262928479,,,"-1,722.27",119.64,4.25,"2,432.72",90.71
Bosnia and Herzegovina,2018,,5263.84826619226,11.21151,39.4529991149902,1.41710814018026,77.093,,"-2,963.55",,,,
Bosnia and Herzegovina,2018,,5263.84826619226,11.21151,39.4529991149902,1.41710814018026,77.093,,,104.31,3.79,"6,685.40",34.27
Bosnia and Herzegovina,2019,,5476.35576227301,11.19274,34.1020011901855,0.562782154061303,77.241,,"-2,957.32",104.9,3.29,"7,061.49",32.53
Bosnia and Herzegovina,2020,,5373.16875734591,9.153822,36.8919982910156,-1.05129600763481,76.225,,"-2,789.46",103.79,3.07,"8,525.57",36.53
