,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
120,Burkina Faso,BFA,Africa,Global South,2021,22100683,19737615114.3661,3.65353287214207,,893.0771557768645
121,Burkina Faso,BFA,Africa,Global South,2020,21522626,17933606353.1775,1.88443993781985,,833.2443426363261
122,Burkina Faso,BFA,Africa,Global South,2019,20951639,16178162030.0694,-3.23338933983321,,772.1668949178344
123,Burkina Faso,BFA,Africa,Global South,2018,20392723,15890065019.7634,1.95594302672532,4.69000005722046,779.2027097000924
124,Burundi,BDI,Africa,Global South,2021,12551213,2779813489.02447,8.4045384507634,,221.47767622336343
125,Burundi,BDI,Africa,Global South,2020,12220227,2649671998.86192,7.32110643415513,1.02999997138977,216.8267413413777
126,Burundi,BDI,Africa,Global South,2019,11874838,2576518846.39,-0.686772170797229,,216.9729680851225
127,Burundi,BDI,Africa,Global South,2018,11493472,2660123597.70762,-2.8146980766847,,231.44647654839375
128,Cambodia,KHM,Asia & Pacific,Global South,2021,16589023,26961061119.7957,2.9207347759295,,1625.2350195545391
129,Cambodia,KHM,Asia & Pacific,Global South,2020,16396860,25872798012.1938,2.94029514263973,,1577.9117472609878
130,Cambodia,KHM,Asia & Pacific,Global South,2019,16207746,27089389786.979,1.94257500833109,0.5,1671.3853849251464
131,Cambodia,KHM,Asia & Pacific,Global South,2018,16025238,24571753583.4922,2.45908515380133,,1533.3159846669485
132,Cameroon,CMR,Africa,Global South,2021,27198628,45338283344.8175,2.27185762503631,,1666.9327344312183
133,Cameroon,CMR,Africa,Global South,2020,26491087,40773241531.2395,2.43760882182242,,1539.1305585625648
134,Cameroon,CMR,Africa,Global South,2019,25782341,39670977332.7348,2.45280214062733,,1538.6879466350554
135,Cameroon,CMR,Africa,Global South,2018,25076747,39973839064.6084,1.0742994515814,,1594.0599897031461
136,Canada,CAN,North America,Global North,2021,38246108,1988336331717.42,3.39519318527532,7.46000003814697,51987.93905297292
137,Canada,CAN,North America,Global North,2020,38037204,1645423407568.36,0.716999632307852,9.46000003814697,43258.26387156007
138,Canada,CAN,North America,Global North,2019,37601230,1742015045482.31,1.94926902411596,5.65999984741211,46328.67184084962
139,Canada,CAN,North America,Global North,2018,37065084,1725329192783.02,2.268225672481,5.82999992370605,46548.63841082945
140,Cape Verde,CPV,Africa,Global South,2021,587925,1936174043.45293,1.86215297494637,,3293.2330543061275
141,Cape Verde,CPV,Africa,Global South,2020,582640,1703698676.69742,0.60579580839551,,2924.1018067716254
142,Cape Verde,CPV,Africa,Global South,2019,577030,1981845740.70615,1.1066667429606,11.289999961853,3434.5627449286
143,Cape Verde,CPV,Africa,Global South,2018,571202,1966501117.61028,1.25699566690509,12.1700000762939,3442.7420030221883
144,Cayman Islands ,CYM,South/Central America,Global North,2021,68136,5898449687.97711,,,86568.76963686025
145,Cayman Islands ,CYM,South/Central America,Global North,2020,67311,5608989199.56798,,,83329.4587744645
146,Cayman Islands ,CYM,South/Central America,Global North,2019,66134,5943589103.56414,,,89871.91313944627
147,Cayman Islands ,CYM,South/Central America,Global North,2018,64884,5530377535.1014,,,85234.84272087726
148,Central African Republic,CAF,Africa,Global South,2021,5457154,2516498299.01212,4.25936417542871,,461.137490166508
149,Central African Republic,CAF,Africa,Global South,2020,5343020,2326720920.59223,1.71015659523149,,435.46925158285575
150,Central African Republic,CAF,Africa,Global South,2019,5209324,2221301400.72468,2.68537355266785,,426.4087625812255
151,Central African Republic,CAF,Africa,Global South,2018,5094780,2220978978.17342,1.61215686991555,,435.9322636450288
152,Chad,TCD,Africa,Global South,2021,17179740,11779980801.7843,-0.772844370359128,,685.6902841244571
153,Chad,TCD,Africa,Global South,2020,16644701,10715396135.4168,4.46414437232863,,643.77222128633
154,Chad,TCD,Africa,Global South,2019,16126866,11314951342.7807,-0.971939175419353,,701.6212165947619
155,Chad,TCD,Africa,Global South,2018,15604210,11239167048.4916,4.27462198610544,1.12999999523163,720.2650469643513
156,Chile,CHL,South/Latin America,Global South,2021,19493184,317058508651.76,4.52456838259136,9.27999973297119,16265.095976714732
157,Chile,CHL,South/Latin America,Global South,2020,19300315,252727193710.018,3.04549084804331,10.9399995803833,13094.459531360913
158,Chile,CHL,South/Latin America,Global South,2019,19039485,278584733103.01,2.55754475703323,7.26999998092651,14631.946877922906
159,Chile,CHL,South/Latin America,Global South,2018,18701450,295402652037.155,2.43488981353058,7.21000003814697,15795.708463095376
160,China,CHN,Asia & Pacific,Global South,2021,1412360000,17734062645371.4,0.981015135544851,5.1100001335144,12556.333120005806
161,China,CHN,Asia & Pacific,Global South,2020,1411100000,14687673892882.0,2.4194218945778,5.6100001335144,10408.66975613493
162,China,CHN,Asia & Pacific,Global South,2019,1407745000,14279937500606.5,2.89923416358227,5.15000009536743,10143.8381955585
163,China,CHN,Asia & Pacific,Global South,2018,1402760000,13894817549374.2,2.07479039965578,4.92999982833862,9905.34200388819
164,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2021,7413100,369176400967.427,1.56875834445927,5.17000007629395,49800.54241375767
165,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2020,7481000,344932192028.051,0.250962021080809,5.80999994277954,46107.76527577209
166,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2019,7507900,363052489184.395,2.8832085377399,2.92000007629395,48356.06350436141
167,"Hong Kong, SAR China",HKG,Asia & Pacific,Global North,2018,7452600,361731070995.726,2.40613432046539,2.80999994277954,48537.56688883423
168,"Macao, SAR China",MAC,Asia & Pacific,Global North,2021,686607,30123914808.5691,,,43873.59116433287
169,"Macao, SAR China",MAC,Asia & Pacific,Global North,2020,676283,25459563655.4806,0.81141051149158,2.5699999332428,37646.316195262334
170,"Macao, SAR China",MAC,Asia & Pacific,Global North,2019,663653,55204758069.5124,2.75193081051976,1.75,83183.16660892424
171,"Macao, SAR China",MAC,Asia & Pacific,Global North,2018,650991,55284360483.1217,3.00446293166949,1.83000004291534,84923.38677972768
172,Colombia,COL,South/Latin America,Global South,2021,51516562,314464137241.33,3.49505757399453,13.8999996185303,6104.136709303893
173,Colombia,COL,South/Latin America,Global South,2020,50930662,270299984937.97,2.52663500084712,15.5699996948242,5307.2152279891825
174,Colombia,COL,South/Latin America,Global South,2019,50187406,323109540251.855,3.52301932741443,10.2799997329712,6438.060182904353
175,Colombia,COL,South/Latin America,Global South,2018,49276961,334198218100.719,3.24056932930567,9.35999965667725,6782.037920331958
176,Comoros,COM,Arab States,Global South,2021,821625,1296089632.60039,,,1577.471027050528
177,Comoros,COM,Arab States,Global South,2020,806166,1225039230.74083,,,1519.5868229878586
178,Comoros,COM,Arab States,Global South,2019,790986,1195019559.09381,,,1510.7973580996504
179,Comoros,COM,Arab States,Global South,2018,776313,1188797574.94753,,,1531.3379718586834
