country,date,Unemployment Rate,Population,Fiscal Balance,GDP per capita,GDP,Inflation,bot,interest,liquidity,debt,CPI,inflation
Central African Economic and Monetary Community,2019,0,0,0,0,0,0,0,0,0,0,0,0
Central African Economic and Monetary Community,2020,0,0,0,0,0,0,0,0,0,0,0,0
Central African Economic and Monetary Community,2021,0,0,0,0,0,0,0,0,0,0,0,0
Central African Rep.,2017,0,0,0,0,0,0,0,0,362.72,0,0,145.47
Central African Rep.,2018,0,0,0,0,0,0,0,0,361.8,0,0,147.82
Central African Rep.,2019,0,0,0,0,0,0,0,0,350.31,0,0,151.79
Central African Rep.,2020,0,0,0,0,0,0,0,0,432.52,0,0,154.38
Central African Rep.,2021,0,0,0,0,0,0,0,0,483.87,0,0,160.96
Central African Republic,2017,0,0,0,0,0,0,0,0,0,50.27,0,0
Central African Republic,2018,10.00199986,54.369,0,2.262269625,2.262269625,1.61215687,0,0,0,50.05,0,0
Central African Republic,2019,10.06799984,55.025,0,1.255919714,1.255919714,2.685373553,0,0,0,47.15,0,0
Central African Republic,2020,11.20499992,54.604,0,-0.817344071,-0.817344071,1.710156595,0,0,0,43.42,0,0
Central African Republic,2021,10.98900032,0,0,-0.864325168,-0.864325168,4.259364175,0,0,0,47.61,0,0
