country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI
Gabon,2018-01-01,,7694.90604516325,0.1094635,36.1310005187988,4.74906652083221,2192012,
Gabon,2019-01-01,,7523.8622784598,0.1093846,35.976001739502,2.46456756151187,2242785,
Gabon,2020-01-01,,6680.08267035383,0.1137353,38.5169982910156,1.17681176042119,2292573,
United Kingdom,2018-01-01,-2.159,47006.1429267683,462119.7,,2.29283990345939,143099892911.005,104.5
United Kingdom,2019-01-01,-2.209,47491.5945630059,470015.0,,1.73810460086511,161903837817.65,106.4
United Kingdom,2020-01-01,-12.761,42098.7497835684,458804.7,,0.98948670377243,153576134878.052,108.3
United Kingdom,2021-01-01,-7.985,45101.536026388,,,2.51837109614205,154989456246.086,109.3
Georgia,2018-01-01,-0.81650676,4539.08752230476,411738.388,4.3,.,.,2.43
Georgia,2019-01-01,-1.84242092,4773.42330884899,438598.856,3.9,.,99.5584411621094,2.13
Georgia,2020-01-01,-9.25457582,4447.664250894,426232.568,3.5,.,,2.378
Georgia,2021-01-01,-6.02099343,4931.82372520107,473823.474,4.8,.,,2.188
Ghana,2018-01-01,,3.99065219632543,3.99065219632543,6.45100021362305,7.80876516610709,79.0396423339844,7.80876516610709
Ghana,2019-01-01,,4.34104647526655,4.34104647526655,6.53200006484985,7.14364003330856,.,7.14364003330856
Ghana,2020-01-01,,-1.47944440230683,-1.47944440230683,7.34100008010864,9.88728956269943,80.379997253418,9.88728956269943
Ghana,2021-01-01,,3.29066462521288,3.29066462521288,7.15999984741211,9.97108867504441,,9.97108867504441
Guinea,2018-01-01,,2536.09418094851,24109509852.7402,4.76800012588501,9.82600180777342,,4.8002026279
Guinea,2019-01-01,,2590.50515304414,24751344560.8856,4.73400020599365,9.47077937313535,,2.7348588635
Guinea,2020-01-01,,2455.15598423553,23848265895.9538,5.35900020599365,10.6018600008336,,5.140734352
Guinea,2021-01-01,,2413.07097588663,26594305745.554,5.26200008392334,12.5970695076018,,5.7019434436
Gambia,2018-01-01,,683.324363124911,,7.17999982833862,6.52096823946571,.,
Gambia,2019-01-01,,722.874793145171,,7.27199983596802,7.11567625631191,.,
Gambia,2020-01-01,,704.029916035493,,8.85099983215332,5.93127636562439,.,
Gambia,2021-01-01,,772.152395143237,,8.32499980926514,7.37034758876615,58.060001373291,
Guinea-Bissau,2018-01-01,,1.52788623209794,19.1670199875353,11.5329999923706,0.381324702791038,60.502,
Guinea-Bissau,2019-01-01,,2.25048923679107,19.2440372806701,11.7290000915527,0.246600268147853,60.882,
Guinea-Bissau,2020-01-01,,-0.684931506849865,20.1569204605,12.8120002746582,1.14000939393218,59.999,
Guinea-Bissau,2021-01-01,,2.73972602739765,21.6483093028203,12.8380002975464,2.24248879577662,,
Equatorial Guinea,2018-01-01,,7079.65050227129,12.1878569050211,15.8109998703003,1.34988438751676,,1.34988438751676
Equatorial Guinea,2019-01-01,,6472.07086074269,14.0018430279566,15.9390001296997,1.23869860205109,,1.23869860205109
Equatorial Guinea,2020-01-01,,6030.51757008333,16.2822245582217,18.117000579834,4.76970498098298,,4.76970498098298
Greece,2018-01-01,,18647.4957207515,46658.8,20.764507284966,0.625621413453588,10732882,99.1049776360441
Greece,2019-01-01,,19018.9021220823,47440.8,19.0892758596099,0.25300752203812,10721582,99.5399971771139
Greece,2020-01-01,,17343.6099878902,46704.7,17.0884275661713,-1.24798355581408,10698599,100.399198941753
Greece,2021-01-01,,18907.8491448015,45794.2,16.5882647889587,1.22382501019855,10641221,98.4272385928877
Grenada,2018-01-01,,9574.27987254478,1166511111.11111,4.1,0.804102313277037,121838,
Grenada,2019-01-01,,9887.92074235834,1213485185.18519,4.9,0.59814976473601,122724,
Grenada,2020-01-01,,8437.56673228706,1043414814.81481,4.9,-0.740732597045501,123663,
Grenada,2021-01-01,,9010.57224466261,1122807407.40741,6.2,1.21951193916844,124610,
Guatemala,2018-01-01,,4485.73125489372,73328024537.1848,4.68699979782104,3.75186186704512,16346950,3.75186186704512
Guatemala,2019-01-01,,4647.69334663252,77170421167.5134,4.46600008010864,3.69998398008601,16604026,3.69998398008601
Guatemala,2020-01-01,,4604.57667897864,77625486978.2561,6.52099990844727,3.21444062197346,16858333,3.21444062197346
Guatemala,2021-01-01,,5025.5422907779,85985752107.4679,5.65299987792969,4.26105127422819,17109746,4.26105127422819
Guyana,2018-01-01,,6127.70538051386,4.441,26.1560001373291,1.28284288443518,.,1.28284288443518
Guyana,2019-01-01,,6348.69808969246,5.353,27.0049991607666,2.0872308916202,.,2.0872308916202
Guyana,2020-01-01,,9126.80604679143,43.48,30.9050006866455,0.993337022838757,.,0.993337022838757
Guyana,2021-01-01,,10857.3381487023,23.774,29.4570007324219,5.03285574626696,88.8499984741211,5.03285574626696
Hong Kong,2018-01-01,,45280.2113679239,361731070995.726,8.74300003051758,2.40613432046539,7452600,
Hong Kong,2019-01-01,,44192.3802322275,363052489184.395,8.52099990844727,2.8832085377399,7507900,
Hong Kong,2020-01-01,,41448.4907994199,344932192028.051,15.5209999084473,0.250962021080809,7481000,
Hong Kong,2021-01-01,,44481.3397599363,369176400967.427,12.7690000534058,1.56875834445927,7413100,
Honduras,2018-01-01,,2423.27329902983,24067778953.842,10.4630002975464,4.34734937777536,87.2052383422852,
Honduras,2019-01-01,,2446.10530994908,25089976946.7736,10.4569997787476,4.36587159819272,88.5074310302734,
Honduras,2020-01-01,,2190.97187254256,23827840809.7014,16.9090003967285,3.46841177951168,,
Honduras,2021-01-01,,2428.02918076814,28488668301.6401,13.5240001678467,4.48087963413448,,
Croatia,2018-01-01,,15244.4310483476,,23.7520008087158,1.50012501041753,.,1.50012501041753
Croatia,2019-01-01,,15331.8830536722,,16.6760005950928,0.771820346498083,.,0.771820346498083
Croatia,2020-01-01,,14198.7539594744,,21.1520004272461,0.154811374562028,.,0.154811374562028
Croatia,2021-01-01,,17685.3252834553,,21.94700050354,2.55450699642046,99.4499969482422,2.55450699642046
Haiti,2018-01-01,,1429.23135334836,-2.881,32.3300018310547,12.4814111170435,2.959,
Haiti,2019-01-01,,1386.51851658061,-1.141,32.2709999084473,18.7037825672506,2.919,
Haiti,2020-01-01,,1322.81405814194,1.091,35.2649993896484,22.7963113642528,2.869,
Haiti,2021-01-01,,1283.05286964319,0.467,34.1319999694824,16.8415240198785,,
Hungary,2018-01-01,,14377.421963001,33641.0,3.7,2.85024792594642,1.55,103.923019985196
Hungary,2019-01-01,,15082.6714945249,36593.4,3.4,3.3385863538201,1.55,106.735751295337
Hungary,2020-01-01,,14427.8188846629,36871.2,3.3,3.3267438576673,1.56,111.695040710585
Hungary,2021-01-01,,15518.7686622368,35879.8,4.4,5.11096534382858,,114.729829755736
Indonesia,2018-01-01,-1.750,3741.30527715913,2557426700.0,,3.19834641562404,128498172045.451,109.697867216586
Indonesia,2019-01-01,-2.229,3892.42167262992,2689212200.0,,3.03058664969491,116772193014.721,112.795316457448
Indonesia,2020-01-01,-6.112,3780.14120998019,2766052200.0,,1.92096800566845,127735559801.691,115.818028317163
Indonesia,2021-01-01,-4.618,3892.5389904925,2748524400.0,,1.56012990525685,133352532466.451,117.617784310243
India,2018-01-01,-6.376,1891.13794439121,33831369497981.496,26.3530006408691,3.93882646691634,401550065968.083,110.168951227287
India,2019-01-01,-7.493,1941.81508305731,35623886135681.1,22.8850002288818,3.72950573539126,378006428711.078,117.437041759643
India,2020-01-01,-12.757,1796.48873981565,36401157939049.5,30.8959999084473,6.62343677628532,442647713931.224,126.2352566146
India,2021-01-01,,1936.94270206376,36927306559962.6,23.8929996490479,5.13140747176369,554103798782.004,130.22803494489
Ireland,2018-01-01,,72339.4218486536,14751795225.7235,6.0,0.488370168032449,4867316,99.3770246698231
Ireland,2019-01-01,,75239.3028933993,14296119922.7389,5.0,0.939044481054341,4934340,100.074757039621
Ireland,2020-01-01,,79074.5401350894,14376479257.6381,4.8,-0.334584625428444,4985382,101.370545726389
Ireland,2021-01-01,,88966.6721604807,,6.8,2.35814296241712,5033165,101.171193620733
"Iran, Islamic Republic of",2018-01-01,-1.60053461,5211.11164308815,331682036227.963,27.5410003662109,30.2233087,.,
"Iran, Islamic Republic of",2019-01-01,-4.43163707,5017.11721737502,283746685180.338,25.9629993438721,34.62342812,.,
"Iran, Islamic Republic of",2020-01-01,-5.0159116,5141.08477874704,239735571102.495,23.7140007019043,36.44232595,.,
"Iran, Islamic Republic of",2021-01-01,-4.54026628,5344.9580270883,359713152725.063,25.6089992523193,40.13203499,88.7399978637695,
Iraq,2018-01-01,7.79772948,4710.97628188563,29.85458635,29.5550003051758,0.36744149,.,0.36744148893681
Iraq,2019-01-01,0.84351044,4854.38663347607,29.10955378,33.9889984130859,-0.19896538,,-0.198965380023871
Iraq,2020-01-01,-12.8121429,4204.17669758529,48.52419442,36.8419990539551,0.57416268,,0.574162679425838
Iraq,2021-01-01,1.89592407,4224.25383488689,33.11894742,35.6040000915527,6.04186489,,6.04186489058039
Iceland,2018-01-01,,74461.479998678,547710.9,2.99708093229945,2.68291768267388,352721.0,-0.0827919177801361
Iceland,2019-01-01,,68853.71521658,565451.3,3.04018544274576,3.01397179156056,360563.0,-0.422573557340138
Iceland,2020-01-01,,59200.1779441092,542337.1,3.07679776022549,2.84792401518658,366463.0,-0.74676317517097
Iceland,2021-01-01,,68727.636664709,524255.5,7.95534898555618,4.44423970189747,372520,-0.0531349149471629
Israel,2018-01-01,,38744.1604404811,332395.0,3.666867572,0.817323896191417,,99.3951612903226
Israel,2019-01-01,,39591.3687578516,344039.4375,4.222479769,0.844128708733833,,100.604838709677
Israel,2020-01-01,,38176.7543372587,,3.707786163,-0.588430300016595,,100.907258064516
Israel,2021-01-01,,40805.1917574569,,4.620903907,1.49228845352231,,100.504032258065
Italy,2018-01-01,-2.186,31593.4802621599,429389.0,11.1,1.13748763600395,60421760.0,101.5
Italy,2019-01-01,-1.540,32114.2998563994,432243.4,10.4,0.611246943765291,59729081,102.4
Italy,2020-01-01,-9.597,29353.8154433028,404677.0,9.7,-0.13770757391657,59438851,102.9
